seq,Fx,Fy,Fz,Mx,My,Mz
284,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
285,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
286,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
287,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
288,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
289,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
290,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
291,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
292,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
293,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
294,-0.292995,-0.24545,-4.99122,-0.0110168,0.033228,-0.00516272
295,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
296,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
297,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
298,-0.29298,-0.253364,-4.99784,-0.013213,0.0339454,-0.00438801
299,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
300,-0.302289,-0.247763,-4.99193,-0.0112545,0.033966,-0.00475086
301,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
302,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
303,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
304,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
305,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
306,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
307,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
308,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
309,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
310,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
311,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
312,-0.284416,-0.231551,-4.97713,-0.00896749,0.0328749,-0.0066488
313,-0.290408,-0.24317,-4.97745,-0.0107601,0.0330989,-0.005942
314,-0.308253,-0.259342,-4.99218,-0.0130409,0.0341875,-0.00404502
315,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
316,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
317,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
318,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
319,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
320,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
321,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
322,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
323,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
324,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
325,-0.307342,-0.252865,-4.99175,-0.0123418,0.0347097,-0.00366629
326,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
